code,first_name,second_name,23_id,24_id,25_id,23_position,24_position,25_position,fotmob_id,25_cost
197469,Hamza,Choudhury,,287,,,MID,,,
198826,Ben,Godfrey,252,715,,DEF,DEF,,662936,
198869,Benjamin,White,29,24,11,DEF,DEF,DEF,776151,5.5
199056,Gabriel,Osho,330,,,DEF,,,789509,
199170,Moussa,Niakhaté,457,,,DEF,,,592102,
199249,Sergio,Reguilón,508,496,,DEF,DEF,,724436,
199670,Odsonne,Edouard,225,198,285,FWD,FWD,FWD,637746,5.0
199796,Matty,Cash,36,32,36,DEF,DEF,DEF,729731,4.5
199798,Ezri,Konsa Ngoyo,48,44,38,DEF,DEF,DEF,710159,4.5
200089,Joe,Willock,432,420,494,MID,MID,MID,860975,5.0
200402,Nélson,Cabral Semedo,572,559,,DEF,DEF,,470834,
200600,Daniel,Castelo Podence,568,562,,MID,MID,,,
200641,Reiss,Nelson,578,10,27,MID,MID,MID,748382,5.0
200720,Caoimhin,Kelleher,301,325,101,GK,GK,GK,776689,4.5
